species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Daphoenositta_chrysoptera,Other Passeriformes,-0.616,2.603,0.540100525,13.5041899
Dasyornis_brachypterus,Other Passeriformes,0.372,3.784,1.450632981,43.9916569
Dasyornis_broadbenti,Other Passeriformes,0.629,4.422,1.875733907,83.26264423
Dendrocincla_fuliginosa,Other Passeriformes,0.076,3.673,1.078962574,39.36983839
Dendrocolaptes_certhia,Other Passeriformes,0.574,4.199,1.775354285,66.61967804
Dendroica_caerulescens,Other Passeriformes,-0.864,2.277,0.421472815,9.747394319
Dendroica_petechia,Other Passeriformes,-0.653,2.404,0.520481986,11.06735739
Dendroplex_picus,Other Passeriformes,0.233,3.543,1.262381479,34.5704752
Dicaeum_aeruginosum,Other Passeriformes,-0.703,2.471,0.49509778,11.83427521
Dicaeum_hirundinaceum,Other Passeriformes,-1.022,1.386,0.359874471,3.998822729
Drymodes_brunneopygia,Other Passeriformes,-0.015,3.655,0.98511194,38.66752112
Dryoscopus_cubla,Other Passeriformes,0.201,3.273,1.222624772,26.39039188
Dulus_dominicus,Other Passeriformes,0.24,3.863,1.27124915,47.60796123
Dumetella_carolinensis,Other Passeriformes,0.107,3.643,1.112934254,38.20628382
Dysithamnus_mentalis,Other Passeriformes,-0.35,2.417,0.70468809,11.21217229
Elaenia_frantzii,Other Passeriformes,-0.503,3.068,0.604713794,21.49886192
Elaenia_martinica,Other Passeriformes,-0.427,2.922,0.652463552,18.57840714
Empidonax_minimus,Other Passeriformes,-0.961,2.349,0.382510184,10.4750894
Enicurus_scouleri,Other Passeriformes,-0.288,2.639,0.749761592,13.99919741
Entomyzon_cyanotis,Other Passeriformes,0.875,4.668,2.398875294,106.4845602
Eopsaltria_australis,Other Passeriformes,-0.071,2.965,0.931461892,19.39470324
Eopsaltria_georgiana,Other Passeriformes,-0.292,2.984,0.746768536,19.76672562
Eopsaltria_griseogularis,Other Passeriformes,-0.192,3.083,0.825306868,21.82377561
Epinecrophylla_fulviventris,Other Passeriformes,-0.729,2.324,0.48239114,10.21645852
Epthianura_aurifrons,Other Passeriformes,-0.892,2.327,0.409835262,10.24715391
Epthianura_tricolor,Other Passeriformes,-0.968,2.251,0.379841963,9.497228318
Eremophila_alpestris,Other Passeriformes,-0.174,3.277,0.840296898,26.49616485
Erythropygia_coryphaeus,Other Passeriformes,-0.329,3.138,0.719643017,23.0577053
Erythrura_gouldiae,Other Passeriformes,-0.693,2.565,0.500073596,13.00065837
Erythrura_trichroa,Other Passeriformes,-0.511,2.067,0.599895383,7.901084275
Estrilda_melpoda,Other Passeriformes,-0.904,2.128,0.404946629,8.398053896
Euneornis_campestris,Other Passeriformes,-0.361,2.782,0.696978998,16.15129125
Euphagus_carolinus,Other Passeriformes,0.412,4.021,1.509834436,55.75683479
Euphagus_cyanocephalus,Other Passeriformes,0.374,4.227,1.45353715,68.5113894
Euphonia_jamaica,Other Passeriformes,-0.447,2.78,0.639543908,16.11902095
Falcunculus_frontatus,Other Passeriformes,0.172,3.263,1.187677833,26.12780309
